NUMERO_PLACA,MARCA,COLOR,ANIO DE MATRICULA,MODELO,CLASE,FECHA DE MATRICULA,ANIO,SERVICIO,FECHA DE CADUCIDAD
HBA4117,CHEVROLET,ROJO,2016,AVEO ACTIVO 1.6L 4P AC,AUTOMOVIL,27-12-2016,2010,USO PARTICULAR, ,
HBA5688,HYUNDAI,PLOMO,2017,ACCENT 4D 1.6,AUTOMOVIL,01-03-2017,2011,USO PARTICULAR,28-02-2022,
HBA6391,CHEVROLET,VERDE,2019,AVEO ACTIVO 1.6L 5P STD,AUTOMOVIL,12-07-2019,2010,USO PARTICULAR,10-07-2024,
HBA8051,KIA,PLATEADO,2020,RIO 1.4L LX 4P,AUTOMOVIL,12-02-2020,2011,USO PARTICULAR,28-02-2025,
HBA9674,GREAT WALL,ROJO,2017,HOVER H5 4X2 ELITE GAS,VEH. UTILITARIO,30-05-2017,2012,USO PARTICULAR,29-05-2022,
HBB1844,MAZDA,ROJO,2019,BT-50 CD RAUDA TM 2.18 4P 4X2,CAMIONETA,03-12-2019,2013,USO PARTICULAR,01-12-2024,
HBB2153,CHEVROLET,PLATEADO,2017,LUV D-MAX TM 3.0 4X4 DIESEL CD EXTREME,CAMIONETA,18-04-2017,2013,USO PARTICULAR,17-04-2022,
HBB2794,CHEVROLET,NEGRO,2020,SAIL STD TM 1.4 5P 4X2,AUTOMOVIL,18-09-2020,2013,USO PARTICULAR,17-09-2025,
HBB3387,CHEVROLET,DORADO,2018,SAIL STD TM 1.4 4P 4X2,AUTOMOVIL,03-05-2018,2014,USO PARTICULAR,31-08-2023,
HBB3716,CHEVROLET,PLATEADO,2016,LUV D-MAX CD OPTIMA TM 2.4 4X2,CAMIONETA,07-12-2016,2013,USO PARTICULAR,06-12-2021,
HBB4909,DAYANG,AZUL,2016,DY-GD02B AC CS 4X2 TA EV,CAMIONETA,28-10-2016,2016,USO PARTICULAR,30-11-2024,
HBB5060,HYUNDAI,AMARILLO,2014,NEW ACCENT 4P 1.4 SF,AUTOMOVIL,25-11-2014,2012,USO PUBLICO, ,
HBB8402,TOYOTA,PLOMO,2019,HILUX 2.7 CD 4X2 TM,CAMIONETA,26-03-2019,2014,USO PARTICULAR,24-03-2024,
HBB8618,CHEVROLET,BLANCO,2016,NMR 85H 3.0 2P 4X2 TM DIESEL,CAMION,04-07-2016,2014,USO PARTICULAR,03-07-2021,
HBB8781,TOYOTA,PLATEADO,2017,HILUX 2.7 CD 4X2 TM,CAMIONETA,13-02-2017,2014,USO PARTICULAR,12-02-2022,
HBC1817,KIA,NEGRO,2017,SPORTAGE L,VEH. UTILITARIO,22-08-2017,2011,USO PARTICULAR,21-08-2022,
HBC2046,CHEVROLET,NEGRO,2018,AVEO EMOTION GLS AC 1.6 4P 4X2 TM,AUTOMOVIL,19-05-2018,2016,USO PARTICULAR,31-07-2024,
HBC2607,TOYOTA,PLOMO,2016,NEW RAV4 AC 2.0 5P 4X2 TM,VEH. UTILITARIO,25-02-2016,2015,USO PARTICULAR, ,
HBC2843,NISSAN,VERDE,2016,X-TRAIL SENSE CVT AC 2.5 5P 4X2 TA,VEH. UTILITARIO,25-02-2016,2016,USO PARTICULAR, ,
